sub	elec_name	number	event_scores	null_scores
1	LENT	1	0.6172839506172839	0.5802469135802469
1	LENT	2	0.654320987654321	0.5555555555555556
1	LENT	3	0.5802469135802469	0.5185185185185185
1	LENT	4	0.5555555555555556	0.43209876543209874
1	LENT	5	0.6296296296296297	0.5555555555555556
1	LENT	6	0.5432098765432098	0.5308641975308642
1	LENT	7	0.6790123456790124	0.5432098765432098
1	LAMY	1	0.5061728395061729	0.5185185185185185
1	LAMY	2	0.49382716049382713	0.49382716049382713
1	LAMY	3	0.6049382716049383	0.43209876543209874
1	LAMY	4	0.6296296296296297	0.6172839506172839
1	LAMY	5	0.5432098765432098	0.5432098765432098
1	LAMY	6	0.4444444444444444	0.4691358024691358
1	LAMY	7	0.6666666666666666	0.5555555555555556
1	LPHG	1	0.5925925925925926	0.5432098765432098
1	LPHG	2	0.7037037037037037	0.5802469135802469
1	LPHG	3	0.7901234567901234	0.5185185185185185
1	LPHG	4	0.7037037037037037	0.5555555555555556
1	LPHG	5	0.8148148148148148	0.5432098765432098
1	LPHG	6	0.7901234567901234	0.49382716049382713
1	LPHG	7	0.7777777777777778	0.4691358024691358
1	LPLI	1	0.7777777777777778	0.4444444444444444
1	LPLI	2	0.5185185185185185	0.3950617283950617
1	LPLI	3	0.691358024691358	0.49382716049382713
1	LPLI	4	0.5555555555555556	0.5308641975308642
1	LPLI	5	0.6419753086419753	0.5061728395061729
1	LPLI	6	0.7037037037037037	0.4567901234567901
1	LPLI	7	0.7777777777777778	0.4444444444444444
1	LPLI	8	0.691358024691358	0.4444444444444444
1	LPLI	9	0.691358024691358	0.48148148148148145
1	LSTG	1	0.7654320987654321	0.4691358024691358
1	LSTG	2	0.6666666666666666	0.5061728395061729
1	LSTG	3	0.7530864197530864	0.5679012345679012
1	LSTG	4	0.7407407407407407	0.5308641975308642
1	LPIT	1	0.7407407407407407	0.5061728395061729
1	LPIT	2	0.691358024691358	0.5432098765432098
1	LPIT	3	0.7777777777777778	0.4567901234567901
1	LPIT	4	0.8641975308641975	0.4444444444444444
1	LPIT	5	0.7777777777777778	0.49382716049382713
1	LPIT	6	0.691358024691358	0.5185185185185185
1	LPIT	7	0.7160493827160493	0.5432098765432098
1	LTPO	3	0.691358024691358	0.48148148148148145
1	LTPO	4	0.7037037037037037	0.5555555555555556
1	LTPO	5	0.691358024691358	0.5308641975308642
1	LTPO	6	0.7407407407407407	0.5185185185185185
1	LTPO	7	0.7160493827160493	0.5061728395061729
1	LTPO	8	0.7407407407407407	0.48148148148148145
1	LBRI	1	0.7530864197530864	0.5679012345679012
1	LBRI	2	0.691358024691358	0.6049382716049383
1	LBRI	3	0.7283950617283951	0.5802469135802469
1	LBRI	4	0.8024691358024691	0.5679012345679012
1	LBRI	5	0.7407407407407407	0.48148148148148145
1	LBRI	6	0.691358024691358	0.5061728395061729
1	LBRI	7	0.7530864197530864	0.4444444444444444
1	LBRI	8	0.7777777777777778	0.49382716049382713
1	LACN	1	0.7160493827160493	0.49382716049382713
1	LACN	2	0.8518518518518519	0.5432098765432098
1	LACN	3	0.8271604938271605	0.4444444444444444
1	LACN	4	0.8395061728395061	0.43209876543209874
1	LACN	5	0.8518518518518519	0.49382716049382713
1	LACN	6	0.7654320987654321	0.5432098765432098
1	LACN	7	0.7407407407407407	0.5185185185185185
1	LACN	8	0.7530864197530864	0.5061728395061729
1	LOFC	1	0.7901234567901234	0.5432098765432098
1	LOFC	2	0.7407407407407407	0.5555555555555556
1	LOFC	3	0.7654320987654321	0.4444444444444444
1	LOFC	4	0.8148148148148148	0.49382716049382713
1	LOFC	5	0.8024691358024691	0.5308641975308642
1	LOFC	6	0.7283950617283951	0.5679012345679012
1	LOFC	7	0.7160493827160493	0.5555555555555556
1	LOFC	8	0.7037037037037037	0.6172839506172839
1	LOFC	9	0.7283950617283951	0.5802469135802469
1	LPCN	1	0.8148148148148148	0.49382716049382713
1	LPCN	2	0.7530864197530864	0.5679012345679012
1	LPCN	3	0.8395061728395061	0.48148148148148145
1	LPCN	4	0.8641975308641975	0.5802469135802469
1	LPCN	5	0.8271604938271605	0.5925925925925926
1	LPCN	6	0.8024691358024691	0.4444444444444444
1	LPCN	7	0.8518518518518519	0.5679012345679012
1	LSMA	1	0.691358024691358	0.5185185185185185
1	LSMA	2	0.7777777777777778	0.5925925925925926
1	LSMA	3	0.8271604938271605	0.5555555555555556
1	LSMA	4	0.8271604938271605	0.5432098765432098
1	LSMA	5	0.8024691358024691	0.5432098765432098
1	LSMA	6	0.8518518518518519	0.5432098765432098
1	LSMA	7	0.8395061728395061	0.5555555555555556
1	LSMA	8	0.8024691358024691	0.5555555555555556
1	LSMA	9	0.7777777777777778	0.5925925925925926
1	LSMA	10	0.8271604938271605	0.6296296296296297
1	LSMA	11	0.8271604938271605	0.5679012345679012
1	LSMA	12	0.7654320987654321	0.6172839506172839
1	LSMA	13	0.7654320987654321	0.5802469135802469
1	LSMA	14	0.7901234567901234	0.5185185185185185
1	LSMA	15	0.7407407407407407	0.48148148148148145
1	LSMA	16	0.8888888888888888	0.3950617283950617
1	LPM	1	0.9135802469135802	0.4691358024691358
1	LPM	2	0.8641975308641975	0.4444444444444444
1	LPM	3	0.8765432098765432	0.4444444444444444
1	LPM	5	0.8641975308641975	0.5679012345679012
