trial_number	correct	fast_or_slow	fix_duration	isi_duration	left_or_right	keypressed	RT	fixation_time	go_time	target_duration	response_time	trial_length	pd_parser_sample
1	1	fast	0.3	0.7	right	79	0.60979	0.36274	1.3356	0.86014	1.9251	5.6822	n/a
2	1	fast	0.5	0.6	right	79	0.61685	0.333	1.4375	0.86014	2.0346	5.7851	n/a
3	0	fast	0.4	0.5	left	80	0.45833	0.33325	1.2382	0.86014	1.6769	5.5859	n/a
4	1	fast	0.6	0.5	right	79	0.45093	0.31677	1.4393	0.86014	1.8703	5.7868	n/a
5	1	fast	0.6	0.3	right	79	0.58519	0.33244	1.2371	0.86014	1.8067	5.5914	n/a
6	0	fast	0.6	0.6	left	80	0.37658	0.32661	1.5315	0.86014	1.8877	5.8794	n/a
7	0	fast	0.7	0.6	left	80	0.51589	0.33271	1.639	0.86014	2.1348	5.986	n/a
8	1	fast	0.6	0.6	right	79	0.54456	0.33338	1.5381	0.86014	2.0627	5.8864	n/a
9	1	fast	0.3	0.7	right	79	0.48726	0.33325	1.3381	0.86014	1.8064	5.6866	n/a
10	0	fast	0.6	0.7	left	80	0.39525	0.33209	1.6376	0.86014	2.0127	5.9848	n/a
11	0	fast	0.7	0.6	left	80	0.47929	0.33345	1.6395	0.86014	2.0989	5.9871	n/a
12	1	fast	0.7	0.5	right	79	0.43758	0.33233	1.5381	0.86014	1.9553	5.8849	n/a
13	0	fast	0.7	0.5	left	80	0.56629	0.33371	1.5403	0.86014	2.0871	5.8882	n/a
14	0	fast	0.3	0.3	left	80	0.49618	0.33184	0.93728	0.86014	1.4137	5.285	n/a
15	0	fast	0.7	0.5	left	80	0.53381	0.33281	1.5374	0.86014	2.0518	5.8852	n/a
16	1	fast	0.6	0.6	right	79	0.43138	0.33345	1.5387	0.86014	1.9498	5.8855	n/a
17	1	fast	0.4	0.3	right	79	0.55168	0.3336	1.0397	0.86014	1.5707	5.3859	n/a
