name	x	y	z	size
LENT1	-0.0204716844459397	0.0157210539287045	-0.0415123934299235	n/a
LENT2	-0.0228647349575758	0.0167177834510946	-0.0396966113018365	n/a
LENT3	-0.0255463062242293	0.0184757957609442	-0.0376766523220935	n/a
LENT4	-0.0288421077117074	0.0198748316492548	-0.0356116500061256	n/a
LENT5	-0.0313107134131961	0.0205775757823721	-0.0336876968919306	n/a
LENT6	-0.0339030302521637	0.0222499863965476	-0.0315493090099818	n/a
LENT7	-0.0364207431537095	0.0228007007144984	-0.029500320899869	n/a
LAMY1	-0.0257293468714703	-7.589096499647889e-05	-0.0160685011052873	n/a
LAMY2	-0.0303907848611188	0.0008264825413275	-0.0155876635429224	n/a
LAMY3	-0.0357782768274988	0.0020436743978612	-0.0156205313140015	n/a
LAMY4	-0.0411364087419648	0.0027316583568488	-0.0153160195751405	n/a
LAMY5	-0.0462577993248199	0.0035200040156394	-0.0148346449024492	n/a
LAMY6	-0.0517407872666077	0.0049878540644333	-0.014804394739964	n/a
LAMY7	-0.0574319430617413	0.005419112384516	-0.0140717314452259	n/a
LPHG1	-0.0326582281703382	-0.0150959694575583	-0.0177484163631524	n/a
LPHG2	-0.0391004644836706	-0.0170302301546472	-0.0178695969047932	n/a
LPHG3	-0.0462014523067378	-0.0190789322603642	-0.0173333704175726	n/a
LPHG4	-0.0524507366009908	-0.0216918915645386	-0.0155208157452826	n/a
LPHG5	-0.0596857596121137	-0.0241904104090519	-0.0128433689158846	n/a
LPHG6	-0.0655481639593633	-0.0260320532252989	-0.0097963237761769	n/a
LPHG7	-0.0694600225396484	-0.0271131497088457	-0.0082231523310116	n/a
LPLI1	-0.0339983608833147	-0.0008949516932469	-0.008412391328372	n/a
LPLI2	-0.0371841440309073	-0.0010534597572558	-0.0084123922061331	n/a
LPLI3	-0.0404731633423427	-0.001869363458393	-0.0077247350467135	n/a
LPLI4	-0.0442632200337221	-0.0019477795536938	-0.0078008651495127	n/a
LPLI5	-0.0476727788513094	-0.0022225952270756	-0.0078557164828891	n/a
LPLI6	-0.0513253567259971	-0.002821693786443	-0.0077282309057587	n/a
LPLI7	-0.0544524387808617	-0.0032300841341119	-0.0068557174778037	n/a
LPLI8	-0.0584189901463242	-0.003332096199097	-0.0066827225232047	n/a
LPLI9	-0.0613354347035225	-0.0034699483226016	-0.0064627698358768	n/a
LSTG1	-0.0348679805210869	-0.0337604611143285	-0.0067554932548028	n/a
LSTG2	-0.0381490669863478	-0.0331952435913973	-0.0053790860004124	n/a
LSTG3	-0.0405634390189776	-0.0332180630554925	-0.004517730454574	n/a
LSTG4	-0.0442066972427909	-0.0332816394920493	-0.0028400965106645	n/a
LPIT1	-0.024946108344869	-0.0309584718975981	-0.0177754024936981	n/a
LPIT2	-0.0293381990316592	-0.0322780795370043	-0.0179046429677056	n/a
LPIT3	-0.0342931603562416	-0.0337006135291464	-0.0169200288456281	n/a
LPIT4	-0.0398879917816548	-0.034965257254854	-0.016740735737967	n/a
LPIT5	-0.0452822380611006	-0.0364930272909755	-0.0156805949289561	n/a
LPIT6	-0.0501885973108221	-0.0377846841215528	-0.015679552073941	n/a
LPIT7	-0.0557701510112033	-0.0392015331283541	-0.0152615630920524	n/a
LTPO3	-0.0387919660720415	-0.0482039193506825	0.0134573471389042	n/a
LTPO4	-0.0424721748779129	-0.0493027128446627	0.0132927906955073	n/a
LTPO5	-0.0455802947987932	-0.0501013768896529	0.0132927908749713	n/a
LTPO6	-0.0488647032317712	-0.0512212090103778	0.0131846783384215	n/a
LTPO7	-0.0523539387104112	-0.051801715621253	0.0132395307442399	n/a
LTPO8	-0.0559197970822079	-0.0534654063541241	0.0134040884924028	n/a
LBRI1	-0.0235832668332235	0.0137890252788605	0.0085962450329498	n/a
LBRI2	-0.0268087781857798	0.0140832437315767	0.0097501522056989	n/a
LBRI3	-0.0304254509837342	0.0147958894365879	0.0101922962738389	n/a
LBRI4	-0.0333490457851204	0.0148158727280561	0.010642546790331	n/a
LBRI5	-0.0369142034147268	0.0147393842351141	0.0113816902179784	n/a
LBRI6	-0.04033374956502	0.0147362747935339	0.0120060770101614	n/a
LBRI7	-0.0442920481197898	0.0152331436747654	0.0131284538813964	n/a
LBRI8	-0.0473626760120595	0.0154697774683483	0.0136425324980257	n/a
LACN1	-0.0046041978451234	0.0087698517106714	0.027570326160469	n/a
LACN2	-0.0099302490882981	0.0103925166245052	0.0294104866304772	n/a
LACN3	-0.0170132221809511	0.0125839639373498	0.0312283442623719	n/a
LACN4	-0.0236751101391326	0.0145925803903178	0.0332289158215356	n/a
LACN5	-0.0305709032281034	0.0171717045075416	0.0347566296478783	n/a
LACN6	-0.036590445303691	0.0196343285275081	0.0361091288263644	n/a
LACN7	-0.0429799275298224	0.0221790344457698	0.0377959998111478	n/a
LACN8	-0.0505598358577901	0.0242632273188088	0.0393065912599146	n/a
LOFC1	-0.0153508280608176	0.0587898641380382	0.0051471076308739	n/a
LOFC2	-0.0202550096098563	0.0551251748582165	0.0062063361160248	n/a
LOFC3	-0.025361548087354	0.0512803635363416	0.0074993787871497	n/a
LOFC4	-0.0307932075386666	0.0472297844205765	0.0090505511098704	n/a
LOFC5	-0.03522961990256	0.0429872256098707	0.0111479141574101	n/a
LOFC6	-0.0398720911226177	0.0384655959721793	0.0145537500669635	n/a
LOFC7	-0.044424196194899	0.0337897481475917	0.0189979493086117	n/a
LOFC8	-0.0484096649883322	0.0298919541974226	0.0235098098452338	n/a
LOFC9	-0.053476237990218	0.0263078226624799	0.0268954886539105	n/a
LPCN1	-0.0103844786309462	-0.047847194074171	0.0073912430423133	n/a
LPCN2	-0.0162256135532217	-0.051233338896306	0.0072454783463241	n/a
LPCN3	-0.0224465181468268	-0.0542072148753739	0.0072454764436276	n/a
LPCN4	-0.0290078271429492	-0.057922176693415	0.0072815362091905	n/a
LPCN5	-0.0347638482559205	-0.0612681892964781	0.0073274082378796	n/a
LPCN6	-0.0413157356935362	-0.064887858987639	0.0076842952115675	n/a
LPCN7	-0.0476727154070031	-0.0680689347596689	0.0076106521072112	n/a
LSMA1	-0.030929604925827	0.0077934081646877	-0.0074424542827883	n/a
LSMA2	-0.0301692856104848	0.008284856523397	-0.004211117312129	n/a
LSMA3	-0.0289376413226611	0.0086381160134487	-0.0007670904593588	n/a
LSMA4	-0.0278614581107597	0.0082141995324467	0.0025543006845152	n/a
LSMA5	-0.0268629988411868	0.0082142016733276	0.0058527010651569	n/a
LSMA6	-0.0259279800321441	0.0086053689737018	0.0090160564332451	n/a
LSMA7	-0.0249203644210723	0.0086277942962566	0.0127508223974268	n/a
LSMA8	-0.0240703489716933	0.0087190909761841	0.0161761448432335	n/a
LSMA9	-0.0171565985187146	0.0086729673418772	0.0436350369109568	n/a
LSMA10	-0.016735364635279	0.0087913985227325	0.0472507372588842	n/a
LSMA11	-0.0153151563373825	0.0087440010025585	0.0505686572048991	n/a
LSMA12	-0.0146804857259484	0.0086534314034348	0.0528428483063912	n/a
LSMA13	-0.0138701870933582	0.0087240810606269	0.0570116299073817	n/a
LSMA14	-0.0128950850347076	0.0084323289330637	0.0613974874155428	n/a
LSMA15	-0.0119399150020542	0.0087115355205454	0.0648569250268691	n/a
LSMA16	-0.0112262289974121	0.0085761569020852	0.0684609733022575	n/a
LPM1	-0.0262868679134379	-0.0083189678515209	0.0313239722505926	n/a
LPM2	-0.0279906802856689	-0.0077068314329717	0.0344415099847786	n/a
LPM3	-0.0299252297598551	-0.0072395708020382	0.0365409015017079	n/a
LPM5	-0.033998978462691	-0.0061593341366993	0.0422795291874788	n/a
LPM6	-0.0355727747591293	-0.0057714560380785	0.0446940665186149	n/a
LPM7	-0.0375822996300454	-0.0052020928978336	0.047717193207084	n/a
LPM8	-0.0396360033466053	-0.004736444114924	0.0503477201557435	n/a
LPM9	-0.0417771692750886	-0.0040030382038789	0.0534939059218741	n/a
LPM10	-0.0438512700383259	-0.003349542519166	0.0561910785123757	n/a
