trial_number	fast_or_slow	fix_duration	isi_duration	left_or_right	keypressed	RT	fix_onset_time	fixation_time	go_time	target_duration	response_time	correct	pd_parser_sample
1	fast	0.5	0.6	right	79	0.40093	2157.3914	0.36821	1.4373	0.6239	1.8224	1	253291
2	fast	0.6	0.4	right	79	0.42653	2164.4861	0.32681	1.3295	0.6239	1.7412	1	260344
3	fast	0.6	0.4	left	80	0.30275	2171.4704	0.32909	1.3325	0.6239	1.6167	1	267331
4	fast	0.6	0.3	right	79	0.3589	2178.454	0.33334	1.2366	0.6239	1.5773	1	274317
5	fast	0.6	0.7	right	79	0.37821	2185.3428	0.33057	1.6346	0.6239	1.9968	1	281204
6	fast	0.3	0.6	left	80	0.42721	2192.6349	0.32438	1.2285	0.6239	1.6379	1	288490
7	fast	0.4	0.4	right	79	0.41847	2199.5155	0.33134	1.1341	0.6239	1.5348	1	295377
8	fast	0.7	0.5	right	79	0.36528	2206.3027	0.3305	1.5335	0.6239	1.8815	1	302163
9	fast	0.4	0.7	left	80	0.42055	2213.4892	0.33069	1.4357	0.6239	1.8368	1	309350
10	fast	0.3	0.5	left	80	0.48381	2220.5753	0.33115	1.134	0.6239	1.5994	1	316436
11	fast	0.7	0.5	left	80	0.40781	2227.3628	0.32975	1.5343	0.6239	1.9251	1	323223
12	fast	0.6	0.5	right	79	0.40409	2234.5508	0.32944	1.4322	0.6239	1.8185	1	330410
13	fast	0.4	0.3	left	80	0.39795	2241.6349	0.33125	1.0347	0.6239	1.4145	1	337496
14	fast	0.4	0.3	left	80	0.41307	2248.3212	0.33141	1.0353	0.6239	1.4298	1	344183
15	fast	0.7	0.5	right	79	0.30939	2255.0077	0.33233	1.5339	0.6239	1.8265	1	350869
16	fast	0.3	0.6	right	79	0.39609	2262.1945	0.33164	1.2353	0.6239	1.6122	1	358056
17	fast	0.3	0.7	left	80	0.37968	2269.0803	0.33271	1.335	0.6239	1.6962	1	364942
18	fast	0.6	0.5	right	79	0.34275	2276.0668	0.33301	1.4363	0.6239	1.7601	1	371928
19	fast	0.7	0.7	left	80	0.32011	2283.1572	0.32951	1.7329	0.6239	2.0347	1	379015
20	fast	0.4	0.6	right	79	0.35024	2290.5417	0.33203	1.3355	0.6239	1.6662	1	386402
21	fast	0.4	0.3	left	80	0.40202	2297.5276	0.33207	1.0356	0.6239	1.4189	1	393388
22	fast	0.3	0.4	left	80	0.44727	2304.2144	0.33207	1.0359	0.6239	1.4651	1	400075
23	fast	0.7	0.4	right	79	0.3617	2310.9021	0.33088	1.4352	0.6239	1.7778	1	406761
24	fast	0.7	0.4	right	79	0.41567	2317.9881	0.33167	1.4348	0.6239	1.8332	1	413848
25	fast	0.3	0.6	right	79	0.39452	2325.0756	0.33105	1.2338	0.6239	1.6097	1	420934
26	fast	0.7	0.5	left	80	0.34	2331.9607	0.33157	1.5373	0.6239	1.8566	1	427821
27	fast	0.3	0.4	right	79	0.31795	2339.1475	0.33255	1.0355	0.6239	1.3352	1	435007
28	fast	0.3	0.7	right	79	0.36362	2345.8349	0.33063	1.3355	0.6239	1.6804	1	441694
29	fast	0.5	0.3	right	79	0.39573	2352.822	0.33091	1.1345	0.6239	1.5115	1	448680
30	fast	0.7	0.6	left	80	0.42438	2359.608	0.33192	1.6348	0.6239	2.0405	1	455467
31	fast	0.3	0.5	left	80	0.42198	2366.8944	0.3318	1.1349	0.6239	1.5386	1	462753
32	fast	0.7	0.4	right	79	0.33729	2373.6867	0.34234	1.4301	0.6239	1.7489	1	469557
33	fast	0.5	0.5	right	79	0.45166	2380.7686	0.34778	1.3341	0.6239	1.7675	1	476643
34	fast	0.5	0.3	right	79	0.37404	2387.7546	0.34789	1.1329	0.6239	1.4905	1	483630
35	fast	0.3	0.6	right	79	0.40432	2394.5415	0.34798	1.2328	0.6239	1.6205	1	490416
36	fast	0.3	0.3	right	79	0.41815	2401.4282	0.34794	0.93476	0.6239	1.3346	1	497302
37	fast	0.3	0.7	right	79	0.33432	2408.0152	0.34661	1.334	0.6239	1.6493	1	503889
38	fast	0.6	0.6	right	79	0.39302	2415.0006	0.34872	1.5354	0.6239	1.9097	1	510875
39	fast	0.5	0.4	left	80	0.34095	2422.1875	0.34863	1.2352	0.6239	1.5573	1	518062
40	fast	0.3	0.4	right	79	0.41784	2429.0745	0.3477	1.035	0.6239	1.4338	1	524948
41	fast	0.7	0.6	right	79	0.35816	2435.7628	0.34599	1.6331	0.6239	1.9723	1	531635
42	fast	0.7	0.7	right	79	0.34109	2443.0474	0.34812	1.7349	0.6239	2.0575	1	538922
43	fast	0.6	0.5	left	80	0.38657	2450.4344	0.34825	1.4349	0.6239	1.8031	1	546308
44	fast	0.7	0.4	right	79	0.32982	2457.5213	0.36693	1.4348	0.6239	1.7458	1	553412
45	fast	0.3	0.4	left	80	0.38084	2464.6103	0.36213	1.0326	0.6239	1.3949	1	560498
46	fast	0.3	0.3	left	80	0.46419	2471.2949	0.34745	0.93407	0.6239	1.3791	1	567168
47	fast	0.6	0.6	left	80	0.38279	2477.8806	0.34849	1.5335	0.6239	1.8998	1	573754
48	fast	0.7	0.3	right	79	0.31103	2485.0685	0.34767	1.3322	0.6239	1.6272	1	580941
49	fast	0.3	0.7	right	80	0.28681	2492.0577	0.34475	1.3317	0.6239	1.5998	0	587927
50	fast	0.3	0.7	left	80	0.41366	2499.042	0.34676	1.3322	0.6239	1.7281	1	594914
51	fast	0.5	0.3	left	80	0.46938	2506.0272	0.34917	1.1351	0.6239	1.5854	1	601900
52	fast	0.7	0.6	left	80	0.39005	2512.8138	0.3486	1.6356	0.6239	2.0066	1	608687
53	fast	0.5	0.3	right	79	0.39352	2520.1013	0.34719	1.1351	0.6239	1.51	1	615973
54	fast	0.3	0.6	left	80	0.3801	2526.8915	0.36028	1.2302	0.6239	1.5914	1	622777
