onset	duration	trial_type	value	sample
253.43999470588233	0.100006103515625	Fixation	1	253291
253.9402888235294	0.0999908447265625	ISI Onset	3	253791
254.50862294117644	0.100006103515625	Go Cue	2	254359
254.9098588235294	0.0999908447265625	Response	4	254760
260.49714352941174	0.100006103515625	Fixation	1	260344
261.0974964705882	0.100006103515625	ISI Onset	3	260944
261.49973294117643	0.100006103515625	Go Cue	2	261346
261.9259835294117	0.0999755859375	Response	4	261772
267.48825352941174	0.100006103515625	Fixation	1	267331
268.0886064705882	0.100006103515625	ISI Onset	3	267931
268.49184352941177	0.100006103515625	Go Cue	2	268334
268.79402117647055	0.100006103515625	Response	4	268636
274.47836294117644	0.100006103515625	Fixation	1	274317
275.0787158823529	0.100006103515625	ISI Onset	3	274917
275.38189411764705	0.100006103515625	Go Cue	2	275220
275.74010470588235	0.100006103515625	Response	4	275578
281.369414117647	0.100006103515625	Fixation	1	281204
281.9697670588235	0.100006103515625	ISI Onset	3	281804
282.67318058823525	0.100006103515625	Go Cue	2	282507
283.05140294117643	0.100006103515625	Response	4	282885
288.6597	0.100006103515625	Fixation	1	288490
288.9598764705882	0.100006103515625	ISI Onset	3	288790
289.5642317647059	0.100006103515625	Go Cue	2	289394
289.99148294117646	0.100006103515625	Response	4	289821
295.55075117647056	0.100006103515625	Fixation	1	295377
295.9509864705882	0.100006103515625	ISI Onset	3	295777
296.35322294117645	0.100006103515625	Go Cue	2	296179
296.7724694117647	0.100006103515625	Response	4	296598
302.3407429411765	0.100006103515625	Fixation	1	302163
303.0411547058823	0.0999755859375	ISI Onset	3	302863
303.54344999999995	0.100006103515625	Go Cue	2	303365
303.9086647058823	0.100006103515625	Response	4	303730
309.53197058823525	0.0999755859375	Fixation	1	309350
309.9322058823529	0.0999755859375	ISI Onset	3	309750
310.63662	0.100006103515625	Go Cue	2	310454
311.0578676470588	0.100006103515625	Response	4	310875
316.6221388235294	0.100006103515625	Fixation	1	316436
316.9223152941176	0.100006103515625	ISI Onset	3	316736
317.4246105882353	0.0999755859375	Go Cue	2	317238
317.9088952941176	0.0999755859375	Response	4	317722
323.4131311764706	0.100006103515625	Fixation	1	323223
324.11354294117643	0.0999755859375	ISI Onset	3	323923
324.6178394117647	0.100006103515625	Go Cue	2	324427
325.0250788235294	0.100006103515625	Response	4	324834
330.60435882352937	0.0999755859375	Fixation	1	330410
331.20471176470585	0.100006103515625	ISI Onset	3	331010
331.7070070588235	0.100006103515625	Go Cue	2	331512
332.1112447058823	0.100006103515625	Response	4	331916
337.6945270588235	0.100006103515625	Fixation	1	337496
338.09476235294113	0.100006103515625	ISI Onset	3	337896
338.39794058823526	0.100006103515625	Go Cue	2	338199
338.7961747058823	0.100006103515625	Response	4	338597
344.3854605882353	0.100006103515625	Fixation	1	344183
344.7856958823529	0.0999755859375	ISI Onset	3	344583
345.08887411764704	0.100006103515625	Go Cue	2	344886
345.5021170588235	0.100006103515625	Response	4	345299
351.0753935294117	0.100006103515625	Fixation	1	350869
351.7758052941176	0.0999755859375	ISI Onset	3	351569
352.27709999999996	0.100006103515625	Go Cue	2	352070
352.58628176470586	0.100006103515625	Response	4	352379
358.26662117647055	0.0999755859375	Fixation	1	358056
358.5667976470588	0.100006103515625	ISI Onset	3	358356
359.17015235294116	0.0999755859375	Go Cue	2	358959
359.5663852941176	0.100006103515625	Response	4	359355
365.15667176470583	0.100006103515625	Fixation	1	364942
365.4568482352941	0.100006103515625	ISI Onset	3	365242
366.1592611764706	0.0999755859375	Go Cue	2	365944
366.53848411764704	0.100006103515625	Response	4	366323
372.14678117647054	0.100006103515625	Fixation	1	371928
372.747134117647	0.100006103515625	ISI Onset	3	372528
373.25043	0.100006103515625	Go Cue	2	373031
373.59263117647055	0.100006103515625	Response	4	373373
379.23794999999996	0.100006103515625	Fixation	1	379015
379.93836176470586	0.100006103515625	ISI Onset	3	379715
380.6417752941176	0.0999755859375	Go Cue	2	380418
380.96096294117643	0.100006103515625	Response	4	380737
386.62929529411764	0.100006103515625	Fixation	1	386402
387.0295305882353	0.0999755859375	ISI Onset	3	386802
387.6328852941176	0.100006103515625	Go Cue	2	387405
387.98309117647057	0.100006103515625	Response	4	387755
393.61940470588235	0.0999755859375	Fixation	1	393388
394.01964	0.0999755859375	ISI Onset	3	393788
394.3228182352941	0.100006103515625	Go Cue	2	394091
394.7250547058823	0.0999755859375	Response	4	394493
400.31033823529407	0.100006103515625	Fixation	1	400075
400.61051470588234	0.100006103515625	ISI Onset	3	400375
401.01375176470583	0.0999755859375	Go Cue	2	400778
401.46101470588235	0.0999755859375	Response	4	401225
407.00027117647056	0.100006103515625	Fixation	1	406761
407.7006829411764	0.100006103515625	ISI Onset	3	407461
408.10492058823525	0.100006103515625	Go Cue	2	407865
408.46613294117645	0.100006103515625	Response	4	408226
414.09144	0.100006103515625	Fixation	1	413848
414.7918517647058	0.100006103515625	ISI Onset	3	414548
415.1940882352941	0.100006103515625	Go Cue	2	414950
415.6103329411764	0.100006103515625	Response	4	415366
421.1816082352941	0.100006103515625	Fixation	1	420934
421.4817847058823	0.100006103515625	ISI Onset	3	421234
422.0841388235294	0.100006103515625	Go Cue	2	421836
422.4793711764706	0.100006103515625	Response	4	422231
428.0726594117647	0.100006103515625	Fixation	1	427821
428.7730711764706	0.100006103515625	ISI Onset	3	428521
429.27836823529407	0.0999755859375	Go Cue	2	429026
429.6185682352941	0.100006103515625	Response	4	429366
435.2628864705882	0.100006103515625	Fixation	1	435007
435.56306294117644	0.100006103515625	ISI Onset	3	435307
435.9663	0.100006103515625	Go Cue	2	435710
436.2834864705882	0.100006103515625	Response	4	436027
441.95381999999995	0.100006103515625	Fixation	1	441694
442.2539964705882	0.100006103515625	ISI Onset	3	441994
442.95841058823527	0.100006103515625	Go Cue	2	442698
443.32262470588233	0.100006103515625	Response	4	443062
448.94392941176466	0.0999755859375	Fixation	1	448680
449.4442235294117	0.100006103515625	ISI Onset	3	449180
449.74740176470584	0.100006103515625	Go Cue	2	449483
450.14363470588233	0.0999755859375	Response	4	449879
455.73492176470586	0.100006103515625	Fixation	1	455467
456.4353335294117	0.100006103515625	ISI Onset	3	456167
457.03768764705876	0.100006103515625	Go Cue	2	456769
457.4619370588235	0.100006103515625	Response	4	457193
463.0252076470588	0.100006103515625	Fixation	1	462753
463.32538411764705	0.100006103515625	ISI Onset	3	463053
463.82867999999996	0.100006103515625	Go Cue	2	463556
464.24992764705877	0.0999755859375	Response	4	463977
469.83320999999995	0.0999755859375	Fixation	1	469557
470.53362176470586	0.100006103515625	ISI Onset	3	470257
470.92084941176466	0.100006103515625	Go Cue	2	470644
471.2580476470588	0.100006103515625	Response	4	470981
476.9233782352941	0.100006103515625	Fixation	1	476643
477.42367235294114	0.100006103515625	ISI Onset	3	477143
477.9099582352941	0.0999755859375	Go Cue	2	477629
478.36122352941175	0.0999755859375	Response	4	478080
483.9144882352941	0.100006103515625	Fixation	1	483630
484.41478235294113	0.0999755859375	ISI Onset	3	484130
484.69994999999994	0.100006103515625	Go Cue	2	484415
485.0731694117647	0.0999755859375	Response	4	484788
490.70448	0.100006103515625	Fixation	1	490416
491.0046564705882	0.0999755859375	ISI Onset	3	490716
491.58899999999994	0.100006103515625	Go Cue	2	491300
491.9932376470588	0.100006103515625	Response	4	491704
497.5945305882353	0.0999755859375	Fixation	1	497302
497.8947070588235	0.100006103515625	ISI Onset	3	497602
498.1808752941176	0.100006103515625	Go Cue	2	497888
498.59912117647053	0.100006103515625	Response	4	498306
504.18540529411763	0.100006103515625	Fixation	1	503889
504.48558176470584	0.0999755859375	ISI Onset	3	504189
505.1729858823529	0.100006103515625	Go Cue	2	504876
505.50718235294113	0.100006103515625	Response	4	505210
511.17551470588234	0.100006103515625	Fixation	1	510875
511.77586764705876	0.0999755859375	ISI Onset	3	511475
512.3622123529411	0.10003662109375	Go Cue	2	512061
512.7554435294118	0.10003662109375	Response	4	512454
518.3667423529412	0.0999755859375	Fixation	1	518062
518.8670364705882	0.0999755859375	ISI Onset	3	518562
519.2532635294117	0.10003662109375	Go Cue	2	518948
519.594464117647	0.0999755859375	Response	4	519289
525.2567929411764	0.10003662109375	Fixation	1	524948
525.5569694117646	0.10003662109375	ISI Onset	3	525248
525.9441970588235	0.0999755859375	Go Cue	2	525635
526.3614423529411	0.0999755859375	Response	4	526052
531.9477264705882	0.0999755859375	Fixation	1	531635
532.648138235294	0.0999755859375	ISI Onset	3	532335
533.2344829411765	0.0999755859375	Go Cue	2	532921
533.5926935294117	0.0999755859375	Response	4	533279
539.2390129411764	0.0999755859375	Fixation	1	538922
539.9394247058823	0.0999755859375	ISI Onset	3	539622
540.6258282352941	0.0999755859375	Go Cue	2	540308
540.9670288235294	0.0999755859375	Response	4	540649
546.6293576470588	0.10003662109375	Fixation	1	546308
547.2297105882352	0.0999755859375	ISI Onset	3	546908
547.7159964705882	0.0999755859375	Go Cue	2	547394
548.1022235294117	0.0999755859375	Response	4	547780
553.7375364705882	0.0999755859375	Fixation	1	553412
554.4379482352941	0.10003662109375	ISI Onset	3	554112
554.805164117647	0.0999755859375	Go Cue	2	554479
555.1353582352941	0.0999755859375	Response	4	554809
560.8277047058823	0.10003662109375	Fixation	1	560498
561.1278811764705	0.10003662109375	ISI Onset	3	560798
561.4980988235294	0.0999755859375	Go Cue	2	561168
561.8793229411764	0.0999755859375	Response	4	561549
567.5016282352941	0.0999755859375	Fixation	1	567168
567.8018047058823	0.0999755859375	ISI Onset	3	567468
568.0879729411764	0.10003662109375	Go Cue	2	567754
568.5522458823528	0.0999755859375	Response	4	568218
574.0915023529411	0.10003662109375	Fixation	1	573754
574.6918552941175	0.10003662109375	ISI Onset	3	574354
575.2761988235294	0.10003662109375	Go Cue	2	574938
575.6594241176471	0.0999755859375	Response	4	575321
581.2827299999999	0.10003662109375	Fixation	1	580941
581.9831417647058	0.0999755859375	ISI Onset	3	581641
582.2673088235293	0.0999755859375	Go Cue	2	581925
582.5784917647059	0.0999755859375	Response	4	582236
588.2728394117646	0.10003662109375	Fixation	1	587927
588.5730158823529	0.10003662109375	ISI Onset	3	588227
589.2594194117646	0.10003662109375	Go Cue	2	588913
589.546588235294	0.10003662109375	Response	4	589200
595.2639494117647	0.0999755859375	Fixation	1	594914
595.5641258823529	0.0999755859375	ISI Onset	3	595214
596.2495288235293	0.10003662109375	Go Cue	2	595899
596.6627717647058	0.0999755859375	Response	4	596312
602.2540588235294	0.10003662109375	Fixation	1	601900
602.7543529411764	0.10003662109375	ISI Onset	3	602400
603.0395205882353	0.0999755859375	Go Cue	2	602685
603.5097970588234	0.0999755859375	Response	4	603155
609.0450511764706	0.10003662109375	Fixation	1	608687
609.7454629411765	0.0999755859375	ISI Onset	3	609387
610.3318076470588	0.10003662109375	Go Cue	2	609973
610.7220370588235	0.0999755859375	Response	4	610363
616.3353370588235	0.10003662109375	Fixation	1	615973
616.8356311764705	0.0999755859375	ISI Onset	3	616473
617.1228	0.0999755859375	Go Cue	2	616760
617.5170317647058	0.0999755859375	Response	4	617154
623.1433394117646	0.10003662109375	Fixation	1	622777
623.4435158823529	0.0999755859375	ISI Onset	3	623077
624.0128505882352	0.0999755859375	Go Cue	2	623646
624.393074117647	0.10003662109375	Response	4	624026
630.0163799999999	0.10003662109375	Fixation	1	629646
630.3165564705882	0.10003662109375	ISI Onset	3	629946
630.9039017647058	0.0999755859375	Go Cue	2	630533
631.3411588235293	0.0999755859375	Response	4	630970
636.9074311764705	0.10003662109375	Fixation	1	636533
